,user_id,text,likes,comments,reposts
0,ali-wodan,Кстати говоря. Теперь подкаст Миражи доступен в соцсети Вконтакте: https://lnkd.in/gKkrJX9Я наконец разобрался как туда прикрутить RSS :-) #podcast #миражи,1,0,0
1,ali-wodan,I’m #hiring. Know anyone who might be interested?,1,0,0
2,ali-wodan,"Хэй честной народ! Ищу векторного иллюстратора на проект, с возможным длительным сотрудничеством по итогу. Можно удаленно. Уровень иллюстраций не хуже чем в примере https://lnkd.in/gkrvhxYРепост, пожалуйста)Если ты умеешь так рисовать, напиши мне в личку :-)Hey! I am looking for an Illustrator who can help us with a project! You need to have skills like in the example below or upper. Text me to discuss prices and due :-)#вакансия #vacancy #illustration #иллюстрация #project #проект",6,0,0
3,ali-wodan,"Новый пост подкаста ""Миражи"" на всех платформах:В аудио: https://lnkd.in/giWuSVNВ инстаграме: https://lnkd.in/gbV6yxKН #automotive # # #cars #а патреоне: https://lnkd.in/gfShqTU#саморазвитие #психология #психологиячеловека #психологияжизни #психологияличности #личностныйрост #подкаст #подкастмиражи #маркетинг #осознанность #мысли #мысливслух #установки #влияние #подсознаниеИспользованные звуки, музыка и картинки:Аудиоцитата из фильма ""Формула любви"" Марка ЗахароваJardins du Luxembourg by Jahzzar is licensed under a Attribution-ShareAlike 3.0 International License.prisoner by Luis Prado from the Noun Project",1,0,0
4,ali-wodan,"Подкаст Миражи, Эпизод 13Ошибка невозвратных затратpodcast.ru/1539345144#подкаст #podcast #it #podcasts #psychology #психология #miragespodcast",2,0,0
5,ali-wodan,Новый эпизод об эффекте ИКЕА на всех платформах podcast.ru/1539345144,1,0,0
6,ali-wodan,"Редкий случай, когда считаю правильным распространять призыв проявить активную позицию и вмешаться в политическую жизнь государства. Что-то мне подсказывает, что если и эти поправки пройдут, то творчество и просветительство окажутся под угрозой во всем СНГ. О чем конкретно идет речь подробно описал Сергей Попов в своем видео",0,0,0
7,ali-wodan,"podcast.ru/1539345144В новом эпизоде подкаста вы узнаете что такое теория рационального выбора и для чего ее используют, что мешает нам быть рациональными и почему это хорошо. 🧠#саморазвитие #психология #психологиячеловека #психологияжизни #психологияличности #личностныйрост#подкаст #подкастмиражи #маркетинг #осознанность #мысли #мысливслух #установки #влияние #подсознание",0,0,0
8,ali-wodan,#вакансия #москва #фултайм #дизайнер #hiring #job #headhunt #productdesign #designers #vacancy,1,0,0
9,ali-wodan,https://lnkd.in/g7-FtA6Новый эпизод на всех платформах,0,0,0
10,ali-wodan,"#москва #офис #фултайм #вакансия #moscow #fulltime #inhouse #vacancy #job2020 #job #recruiting #careers Снова ищу классных коллег к нам в команду AdGuard (adguard.com)Нужны:1) Уверенный мидл продакт дизайнер на основную линейку продуктов (много работы) и маркетинг(мало работы) с хорошим скилом в юай #ui #ux #productdesign #productdesigner https://lnkd.in/gQGY36Q2) Юикс райтер, который приведет в порядок все наши интерфейсные тексты. Тут нужен английский с2, прекрасный русский, опыт работы с UI и способность глубоко разбираться в технических деталях чтобы переводить с айтишного на человеческийhttps://lnkd.in/g2aPaRzПо условиям все классноПодробности, вилки зп, подробные условия в телеграме у нашей @ksenia_hr или по почте hr@performix.ru",0,0,0
11,ali-wodan,"Оп-оп, новый движ :) пока нет нигде, скоро будет везде. Ссылка на чудо чудное https://anchor.fm/mirages, если послушаете и насыпете фидбэка, буду какать радугой (нет)#podcast #psychology #mirages #подкаст #психология #миражи",2,0,0
12,ali-wodan,"В новом эпизоде подкаста говорим про парапланеризм и то, как он совмещается с работой в айти #podcast #it #paraplanning :",0,0,0
13,ali-wodan,Yeah! #gopractice #productmanagement #datadriven,11,0,0
14,ali-wodan,"Заказчик: И сколько нужно времени на дизайн проекта?Дизайнер: Около 2 недель.Заказчик: У вас 3 дня.Дизайнер: Хорошо, давайте попробую объяснить понятнее:#designer #design #ux #ui #customer #client #deadline #maket #presentation #it #humor #ithumor",7,0,0
15,ali-wodan,"Граждане, сеньора-дизайнера мы тоже нашли, большое спасибо всем кто откликнулся. Всем добра и крутых коллег :)  #product #vacancy #success",2,0,0
16,ali-wodan,https://lnkd.in/gyTZPbE #articles #psychology,1,0,0
17,ali-wodan,"#vacancy #офис #москва #фултайм #productВсем привет! Мидла себе в команду я нашел, спасибо откликнувшимся :) Теперь у меня новая вакансия (такими темпами можно и эйчаром стать кек) Senior Product Digital Designer!Если вкратце, то нам нужен крутой диз который займется еще одним проектом нашей компании. Нужен кто-то самостоятельный, кто сможет со временем собрать свою команду и выстраивать процессы. Сам я на этот проект тратить время не смогу и буду разве что курировать немножк. Откликнись, герой! Интересный продукт, крутые коллеги и хорошая оплата чеканной монетой ждет тебя) Подробности тут: https://lnkd.in/gVhAaxHОткликаться лучше сюда: hr@performix.ru",4,0,0
18,ali-wodan,"#москва #офис #фултаймИщу классных коллег к нам в команду AdGuard (adguard.com) Что делать:Редизайн и развитие отдельного продукта (промо-сайт + продукт, сложное веб-приложение) и сопровождениеилиUX/UI для веб-приложений и ПО с нуля и на основе дизайн-системыРазработка и поддержка кроссплатформенной дизайн-системыМаркетинговые задачи, лэндинги, письма, оптимизация конверсии сайтовКонтроль качества Что мы ожидаем:Опыт разработки интерфейсов в студии или продуктовых компаниях от 2 летМинимум 2 живых проекта с вашим дизайном в сети, минимум 1 из них сложныйУмение и желание вникать и разбираться, умение думатьSketch как основной инструмент (возможно со временем перейдем на фигму но это не точно) + умение работать на всем что понадобится Что предлагаем:Белая заработная платаКомфортный офис в г. Москве в 5 минутах ходьбы от м. ТульскаяСпортзал, настольный теннис, занятия с тренером, группы по английскому и китайскому языкам в офисеСовременные и удобные рабочие места — мощные маки, хорошие мониторыДМС после испытательного срока Для вопросов и откликов пишите на почту hr@performix.ru или в телеграм @ksenia_hr",8,0,0
19,ikotow,"Hello Everyone! I'm ecstatic to announce my new role as CEO of Metakratos Studio, a seasoned IT firm known for delivering advanced software solutions across various industries such as finance, IT, blockchain, industrial automatization, security, edtech, and advertising.With years of experience in empowering businesses of all sizes to achieve rapid growth and effortless scaling, Metakratos Studio has built a reputation for excellence and innovation. I'm honored to be leading this incredible team and eager to continue the company's legacy of pushing the boundaries of technology.As we embark on this journey together, I look forward to tackling new challenges, seizing opportunities, and fostering a culture of collaboration and creativity within our team. I'm committed to ensuring that Metakratos Studio remains at the forefront of innovation and continues to make a lasting impact on the industries we serve.I invite you to follow the Metakratos Studio community on LinkedIn: https://lnkd.in/eRDteZU4 to stay updated on our latest news, insights, and accomplishments.Thank you for your support as I step into this new role. Let's connect and collaborate to drive innovation, growth, and success for businesses worldwide! #newbeginnings #ceo #MetakratosStudio #technology #innovation #softwaredevelopment #businessgrowth #software #success #community",21,1,1
20,ikotow,"Про профессию менеджера проектов я могу рассказывать часами. Поработав на этой позиции в разных компаниях и взаимодействуя с этими людьми с точки зрения подчинённого, руководителя, заказчика и исполнителя, мне хочется поделиться мыслями и обменяться видением профессии и её восприятия другими людьми.",1,1,0
21,ikotow,В продолжение предыдущей статьи (https://lnkd.in/eSXkRqy4) публикую размышления про цифровую зрелость компаний и гибкую разработку.,3,0,0
22,ikotow,"Написал на днях статью о том, как мы в Технократии работаем с процессом изменений. Залетайте почитать!;)",3,0,0
23,ikotow,#делегирование #руководитель,1,2,0
24,ikotow,"Запретный плод сладок. Не удивлюсь, если у LinkedIn посещаемость выросла. Зато теперь соц.сеть ещё больше про IT. По крайней мере айтишники точно знают, как сюда попасть.",2,0,0
